Title,Genres,Styles,Platform,Description
"My Holo Love","Sci-Fi, Romance","Technology, AI","Netflix","A lonely woman falls in love with a holographic AI, only to meet its real-life creator, blurring the lines between reality and emotion."
"Alice","Sci-Fi, Fantasy, Mystery","Time Travel","Viki","Time travelers from the future use a portal called Alice, but a detective discovers secrets that challenge fate and his own tragic past."
"Are You Human Too?","Sci-Fi, Romance","Robot, Technology","Viki","When a chaebol heir falls into a coma, his mother replaces him with a humanoid robot, sparking unexpected romance and ethical questions."
"L.U.C.A.: The Beginning","Sci-Fi, Action","Thriller","Viki","A man with mysterious powers searches for his identity while being hunted by a secret organization that holds the key to his origin."
"Moon Lovers: Scarlet Heart Ryeo","Historical, Romance, Drama","Fantasy","Netflix","A modern woman is transported to the Goryeo Dynasty and becomes entangled in palace politics and tragic romance among royal princes."
"Hwarang","Historical, Romance","Youth","Netflix","Young warriors in the Silla Kingdom train to become elite protectors, facing friendship, love, and political intrigue in their coming-of-age journey."
"The King's Affection","Historical, Romance, Drama","Fantasy","Netflix","A royal daughter raised as a male heir must conceal her identity while navigating palace politics and forbidden love."
"100 Days My Prince","Historical, Romance","Comedy","Netflix","A crown prince loses his memory and lives as a commoner for 100 days, unknowingly marrying a woman with secrets of her own."
"Jang Ok-jung, Living by Love","Historical, Drama","Romance","Viki","The rise and fall of Jang Ok-jung, a royal concubine whose love and ambition shape her fate in the Joseon court."
"Rookie Historian Goo Hae-ryung","Historical, Romance","Comedy","Netflix","A progressive female historian challenges gender norms while falling for a secretive prince who writes romance novels."
"Sungkyunkwan Scandal","Historical, Romance, Comedy","Gender Bender","Viki","A woman disguises herself as a man to attend a prestigious school, forming close bonds and stirring romantic tension."
"Voice","Police, Crime","Thriller","Viki","A voice profiler and a detective team up to catch serial killers using sound clues, racing against time and trauma."
"The Fiery Priest","Police, Crime, Comedy","Action","Viki","A hot-tempered Catholic priest joins forces with a detective and prosecutor to uncover corruption and fight injustice."
"Extraordinary Attorney Woo","Legal, Romance","Slice of Life","Netflix","A brilliant attorney with autism navigates the legal world, facing prejudice while solving cases with empathy and logic."
"Hyena","Legal, Romance","Drama","Netflix","Two rival lawyers clash in court and in love, using cunning and ambition to win cases and outsmart each other."
"I Can Hear Your Voice","Legal, Fantasy, Romance","Mystery","Viki","A young man with the ability to read minds helps a public defender solve cases and uncover painful truths."
"Defendant","Legal, Suspense","Crime","Netflix","A prosecutor wakes up on death row with no memory of the crime, and must prove his innocence before it's too late."
"Good Partner","Legal","Drama","Viki","Two divorce lawyers with clashing personalities handle messy cases while confronting their own emotional baggage."
"Divorce Attorney Shin","Legal, Drama","Comedy","Netflix","A former pianist turned divorce lawyer helps clients navigate heartbreak with wit, empathy, and unexpected charm."
"Hospital Playlist","Medical, Drama","Slice of Life, Friendship","Netflix","Five doctors who’ve been friends since medical school balance life, love, and laughter while working at the same hospital."
"Dr. Romantic","Medical, Drama","Romance","Disney+","A genius surgeon with a mysterious past mentors young doctors in a rural hospital, teaching them about life and love."
"It's Okay, That's Love","Medical, Romance, Drama","Psychological","Viki","A psychiatrist and a novelist with hidden trauma fall in love, exploring mental health and emotional healing together."
"Doctor Stranger","Medical, Suspense","Romance","Viki","A North Korean defector with elite surgical skills works in a South Korean hospital while searching for his lost love."
"Doctors","Medical, Romance","Drama","Viki","A rebellious high school student becomes a compassionate doctor, confronting her past and finding love in the hospital corridors."
"Good Doctor","Medical","Drama","Viki","A young surgeon with autism and savant syndrome struggles to prove his worth in a prestigious hospital while saving lives."
"Yong-pal","Medical, Action","Romance","Viki","A talented surgeon secretly treats criminals and VIPs, but his double life leads him into a dangerous web of power and romance."
"Ghost Doctor","Medical, Fantasy","Comedy","Viki","After a coma, a brilliant but arrogant doctor becomes a ghost and must rely on a clumsy resident to perform surgeries and uncover truths."
"D-Day","Medical, Disaster","Drama","Viki","Doctors race against time to save lives after a devastating earthquake hits Seoul, testing their courage and humanity."
"Who Are You: School 2015","Youth, Mystery, Romance","School","Viki","A bullied girl wakes up with amnesia and assumes her twin sister’s identity, unraveling secrets and discovering love and friendship."
"Reply 1988","Youth, Slice of Life, Comedy","Family","Netflix","Set in a nostalgic neighborhood in the late '80s, five friends grow up together, sharing laughter, tears, and unforgettable memories."
"My ID is Gangnam Beauty","Youth, Romance","University","Netflix","A college student who underwent plastic surgery struggles with self-esteem and discovers true beauty through love and acceptance."
"Love Alarm","Youth, Technology","Romance","Netflix","In a world where an app alerts users if someone nearby loves them, a high school girl faces emotional chaos and romantic dilemmas."
"Sassy Go Go","Youth, Romance","School","Viki","Students from different social groups unite through cheerleading, overcoming rivalry, pressure, and discovering friendship and love."
"Our Beloved Summer","Slice of Life, Romance","Drama","Netflix","Ex-lovers are forced to reunite for a documentary years after their breakup, reigniting old feelings and unresolved emotions."
"Age of Youth","Slice of Life, Drama","Youth","Netflix","Five college girls share a house and navigate relationships, career dreams, and personal growth in a heartfelt coming-of-age story."
"Navillera","Slice of Life, Drama","Family","Netflix","A 70-year-old man pursues his dream of ballet with the help of a young dancer, forming a touching bond across generations."
"Dream High","Musical, Youth","School","Viki","Aspiring performers attend an arts high school, chasing fame and love while learning the price of dreams and perseverance."
"You're Beautiful","Musical, Comedy","Romance","Viki","A girl disguises herself as her twin brother to join a popular boy band, leading to romantic entanglements and hilarious moments."
"Reply 1997","Musical, Youth","Slice of Life","Netflix","Set in the '90s, a group of friends navigate adolescence, fandom culture, and first love in a nostalgic and humorous tale."
"Do Do Sol Sol La La Sol","Musical, Romance","Comedy","Netflix","A cheerful pianist rebuilds her life in a small town after losing everything, finding love, music, and unexpected friendships."
"The Liar and His Lover","Musical","Romance","Viki","A genius composer hides his identity and falls for a high school girl with a beautiful voice, leading to a bittersweet romance shaped by music and secrets."
"Heartstrings","Musical, Romance","School","Viki","A classical music student and a carefree guitarist clash and connect at an arts university, discovering love and artistic growth."
"Persevere, Goo Hae Ra","Musical, Comedy","Romance","Viki","An aspiring singer joins a music competition with her friends, chasing dreams and navigating love, rivalry, and personal loss."
"The Producers","Musical, Slice of Life","Drama","Netflix","Behind the scenes of a TV station, rookie producers and veteran stars juggle chaotic schedules, awkward romance, and industry politics."
"The Best Hit","Musical, Comedy","Fantasy","Viki","A famous '90s idol accidentally time-travels to the present and meets his son, sparking hilarious and heartfelt moments across generations."
"Hit the Top","Musical, Comedy","Fantasy","Viki","A young man from the past wakes up in modern Seoul and discovers fame, family, and the challenges of the entertainment world."
"Racket Boys","Sports, Drama, Slice of Life","Youth","Netflix","A group of boys in a rural town train for badminton championships, learning about teamwork, friendship, and growing up."
"Fight For My Way","Sports, Romance","Comedy","Netflix","Two lifelong friends chase unlikely dreams in martial arts and broadcasting, discovering love and resilience along the way."
"Hot Stove League","Sports, Drama","Corporate","Disney+","A new general manager shakes up a struggling baseball team, using strategy and grit to rebuild the roster and challenge the system."
"The Fabulous","Sports, Fashion","Romance","Netflix","Young professionals in the fashion industry navigate ambition, creativity, and complicated relationships in a glamorous but demanding world."
"Reply 1994","Sports, Slice of Life","Comedy","Netflix","College students from different regions live together in Seoul during the 1994 sports boom, forming bonds and experiencing first love."
"Run On","Sports, Romance","Drama","Netflix","A national sprinter and a subtitle translator fall in love while questioning their paths, exploring communication and emotional growth."
"Love All Play","Sports, Romance","Youth","Disney+","Two badminton players fall in love while striving for excellence, balancing competition, friendship, and youthful passion."

# End of file: kdramas.csv but You may add new kdramas as you wish
